blocks,threads,n,time_ms
1,1,8192,0.547513
1,2,8192,0.285614
1,4,8192,0.208262
1,8,8192,0.168812
1,16,8192,0.08915
1,32,8192,0.049149
1,64,8192,0.028657
1,128,8192,0.018868
1,256,8192,0.013558
1,512,8192,0.011101
1,1024,8192,0.010053
2,1,8192,0.283336
2,2,8192,0.206611
2,4,8192,0.169014
2,8,8192,0.089105
2,16,8192,0.048494
2,32,8192,0.028473
2,64,8192,0.018379
2,128,8192,0.014623
2,256,8192,0.010919
2,512,8192,0.009455
2,1024,8192,0.008934
4,1,8192,0.207158
4,2,8192,0.16895
4,4,8192,0.088365
4,8,8192,0.048576
4,16,8192,0.029038
4,32,8192,0.018484
4,64,8192,0.013226
4,128,8192,0.010598
4,256,8192,0.009791
4,512,8192,0.009341
4,1024,8192,0.008646
8,1,8192,0.168973
8,2,8192,0.08888
8,4,8192,0.048413
8,8,8192,0.028033
8,16,8192,0.018773
8,32,8192,0.013539
8,64,8192,0.011398
8,128,8192,0.009677
8,256,8192,0.00893
8,512,8192,0.009453
8,1024,8192,0.008624
16,1,8192,0.088127
16,2,8192,0.048201
16,4,8192,0.028791
16,8,8192,0.0187
16,16,8192,0.012956
16,32,8192,0.010552
16,64,8192,0.009804
16,128,8192,0.009578
16,256,8192,0.008814
16,512,8192,0.008253
16,1024,8192,0.008695
32,1,8192,0.048461
32,2,8192,0.02815
32,4,8192,0.018481
32,8,8192,0.013415
32,16,8192,0.010946
32,32,8192,0.009203
32,64,8192,0.008671
32,128,8192,0.00957
32,256,8192,0.008736
32,512,8192,0.008246
32,1024,8192,0.008337
64,1,8192,0.029198
64,2,8192,0.018273
64,4,8192,0.013349
64,8,8192,0.010687
64,16,8192,0.010117
64,32,8192,0.009383
64,64,8192,0.008305
64,128,8192,0.008523
64,256,8192,0.008862
64,512,8192,0.008811
64,1024,8192,0.008485
128,1,8192,0.020065
128,2,8192,0.016115
128,4,8192,0.013574
128,8,8192,0.011474
128,16,8192,0.011284
128,32,8192,0.010687
128,64,8192,0.010307
128,128,8192,0.009716
128,256,8192,0.00991
128,512,8192,0.011088
128,1024,8192,0.015263
256,1,8192,0.014565
256,2,8192,0.0124
256,4,8192,0.01154
256,8,8192,0.010826
256,16,8192,0.009817
256,32,8192,0.009803
256,64,8192,0.010674
256,128,8192,0.010634
256,256,8192,0.009866
256,512,8192,0.010042
256,1024,8192,0.010496
512,1,8192,0.012399
512,2,8192,0.012039
512,4,8192,0.010867
512,8,8192,0.010585
512,16,8192,0.010148
512,32,8192,0.009666
512,64,8192,0.01037
512,128,8192,0.010189
512,256,8192,0.009835
512,512,8192,0.009759
512,1024,8192,0.011168
1024,1,8192,0.012447
1024,2,8192,0.01101
1024,4,8192,0.010359
1024,8,8192,0.010486
1024,16,8192,0.010582
1024,32,8192,0.010743
1024,64,8192,0.00996
1024,128,8192,0.009931
1024,256,8192,0.010528
1024,512,8192,0.01116
1024,1024,8192,0.012648
